City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,74.91,light rain,-23.1203,-134.9692,People ThankYou
1,Sabang,ID,82.83,overcast clouds,5.8933,95.3214,Hotel Citra
2,Vaini,TO,73.56,few clouds,-21.2,-175.2,Keleti Beach Resort
6,Isangel,VU,73.81,few clouds,-19.55,169.2667,Tanna Lodge
11,Butaritari,KI,81.27,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
12,Turbat,PK,85.01,light rain,26.0023,63.044,Mubashar Quarters
18,Pontal Do Parana,BR,76.98,broken clouds,-25.6533,-48.5128,Eco Hostel Residencial Bananeiras
26,Praya,CV,81.14,broken clouds,14.9215,-23.5087,LT Aparthotel
31,Atuona,PF,77.32,light rain,-9.8,-139.0333,Villa Enata
33,Namatanai,PG,76.66,clear sky,-3.6667,152.4333,Seagulls Inn Namatani
34,Cruz,BR,86.52,overcast clouds,-2.9178,-40.1717,Hotel Villaboibom
39,Wilmington,US,91.89,few clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
40,Mogadouro,PT,94.01,clear sky,41.3403,-6.7119,Pensão Russo
41,Outlook,CA,77.23,few clouds,51.5001,-107.0513,Red Wheel Motel
43,Staroderevyankovskaya,RU,74.86,few clouds,46.1276,38.9674,Guest House Nes
44,Santa Ana,US,89.4,haze,33.7456,-117.8678,"Motel 6 Santa Ana, CA"
45,Avarua,CK,71.65,overcast clouds,-21.2078,-159.775,Paradise Inn
48,Bethel,US,84.18,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
52,Hithadhoo,MV,82.36,few clouds,-0.6,73.0833,Scoop Guest House
53,Salalah,OM,77.09,drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
54,Kutum,SD,81.43,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
56,Chimore,BO,87.67,scattered clouds,-16.9833,-65.1333,Bichito
59,Hasaki,JP,73.8,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
60,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
61,Mahibadhoo,MV,83.03,overcast clouds,3.7833,72.9667,Omadhoo Inn
62,Arraial Do Cabo,BR,80.56,few clouds,-22.9661,-42.0278,Pousada Porto Praia
63,Sam Roi Yot,TH,77.79,light rain,12.2708,99.872,SeaBreezeResort Samroiyot
64,Dingle,PH,76.51,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
70,Norman Wells,CA,71.64,smoke,65.282,-126.8329,Heritage Hotel
71,Bengkulu,ID,74.93,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
75,Lucapa,AO,72.3,few clouds,-8.4192,20.7447,Lírio Mendes
79,Tual,ID,79.84,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
80,Saint-Georges,GD,87.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
81,Ribeira Grande,PT,72.0,broken clouds,38.5167,-28.7,Quinta da Meia Eira
83,Nipawin,CA,73.44,broken clouds,53.3668,-104.0009,Tobin Lake Motel
84,Hilo,US,86.29,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
85,Bontang,ID,76.73,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
86,Jamestown,US,78.53,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
89,Maneadero,MX,79.93,clear sky,31.7167,-116.5667,Casa De Thompson
90,Castro,BR,72.14,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
91,Lompoc,US,73.92,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
92,Westport,US,86.14,few clouds,41.1415,-73.3579,The Westport Inn
96,Olhao,PT,90.28,clear sky,37.0286,-7.8411,Real Marina Residence
97,Maravilla,PH,79.65,overcast clouds,10.9011,123.8918,Maravilla Beach Club (No Day Use/No Tents/No Cottage)
98,Kashi,CN,81.61,scattered clouds,39.4547,75.9797,帕米尔青年旅舍
99,Glace Bay,CA,73.33,broken clouds,46.1969,-59.957,Cedarwoods Bed & Breakfast
101,Vao,NC,75.02,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
102,Sorong,ID,77.2,light rain,-0.8833,131.25,Waigo Splash Hotel
103,Jacareacanga,BR,85.41,broken clouds,-6.2222,-57.7528,Casa do Ian😎
104,Winnemucca,US,82.45,clear sky,40.973,-117.7357,Winners Inn Casino
111,Vila,PT,89.71,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
114,Caravelas,BR,77.31,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
116,Ankang,CN,80.42,scattered clouds,32.68,109.0172,安琪酒店
118,Bubaque,GW,81.43,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
122,Nabire,ID,75.76,moderate rain,-3.3667,135.4833,Hotel Nusantara I
123,Shingu,JP,74.3,broken clouds,33.7333,135.9833,Shingu UI Hotel
124,Kapaa,US,78.78,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
126,Curaca,BR,87.66,few clouds,-8.9903,-39.9094,Hotel Recanto Campestre
127,Aswan,EG,81.7,clear sky,24.0934,32.907,Nuba Nile
128,Nara,JP,77.5,broken clouds,34.6851,135.8049,Guesthouse Nara Komachi
131,Faanui,PF,77.76,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
133,Palmer,US,81.86,few clouds,42.1584,-72.3287,Wedgewood Motel
