City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,74.91,76,100,15.12,light rain
1,Sabang,ID,5.8933,95.3214,82.83,81,100,21.65,overcast clouds
2,Vaini,TO,-21.2,-175.2,73.56,83,20,8.05,few clouds
3,New Norfolk,AU,-42.7826,147.0587,45.9,82,44,2.68,scattered clouds
4,Pisco,PE,-13.7,-76.2167,65.01,77,15,10.36,haze
5,Quesnel,CA,52.9999,-122.5029,59.5,82,40,4.61,scattered clouds
6,Isangel,VU,-19.55,169.2667,73.81,84,12,8.05,few clouds
7,Sisimiut,GL,66.9395,-53.6735,44.58,79,100,13.15,overcast clouds
8,Hobart,AU,-42.8794,147.3294,46.26,89,100,5.75,overcast clouds
9,Sitka,US,57.0531,-135.33,57.09,88,100,8.05,overcast clouds
10,Tasiilaq,GL,65.6145,-37.6368,51.96,80,100,4.83,overcast clouds
11,Butaritari,KI,3.0707,172.7902,81.27,79,26,13.8,scattered clouds
12,Turbat,PK,26.0023,63.044,85.01,77,68,6.08,light rain
13,Punta Arenas,CL,-53.15,-70.9167,33.91,60,20,11.5,few clouds
14,Barrow,US,71.2906,-156.7887,51.82,76,75,14.97,broken clouds
15,Albany,US,42.6001,-73.9662,78.67,47,1,1.01,clear sky
16,Terrace,CA,54.5163,-128.6035,58.91,88,100,6.91,overcast clouds
17,Leningradskiy,RU,69.3833,178.4167,43.99,91,100,9.46,light rain
18,Pontal Do Parana,BR,-25.6533,-48.5128,76.98,74,61,6.33,broken clouds
19,Busselton,AU,-33.65,115.3333,56.39,63,91,22.75,light rain
20,Opunake,NZ,-39.4556,173.8583,55.85,90,100,13.62,overcast clouds
21,Lebu,CL,-37.6167,-73.65,47.82,86,100,5.12,moderate rain
22,Hermanus,ZA,-34.4187,19.2345,57.79,76,19,9.98,few clouds
23,Upernavik,GL,72.7868,-56.1549,39.51,83,4,8.9,clear sky
24,Mar Del Plata,AR,-38.0023,-57.5575,55.94,85,75,10.36,broken clouds
25,Ushuaia,AR,-54.8,-68.3,29.86,80,100,19.57,light snow
26,Praya,CV,14.9215,-23.5087,81.14,61,75,13.8,broken clouds
27,Pangody,RU,65.85,74.4859,54.59,78,38,6.62,scattered clouds
28,Bambous Virieux,MU,-20.3428,57.7575,69.22,73,40,17.27,scattered clouds
29,Tilichiki,RU,60.4667,166.1,54.82,91,81,3.58,broken clouds
30,Port Alfred,ZA,-33.5906,26.891,66.18,37,0,11.97,clear sky
31,Atuona,PF,-9.8,-139.0333,77.32,80,30,19.84,light rain
32,Dolny Kubin,SK,49.2098,19.3034,65.5,78,98,2.44,overcast clouds
33,Namatanai,PG,-3.6667,152.4333,76.66,75,8,7.29,clear sky
34,Cruz,BR,-2.9178,-40.1717,86.52,53,92,14.25,overcast clouds
35,Severo-Kurilsk,RU,50.6789,156.125,53.8,92,99,11.54,overcast clouds
36,Ahipara,NZ,-35.1667,173.1667,57.38,94,48,6.17,scattered clouds
37,East London,ZA,-33.0153,27.9116,65.34,63,0,5.75,clear sky
38,Vilyuysk,RU,63.7553,121.6247,58.89,86,100,3.0,overcast clouds
39,Wilmington,US,34.2257,-77.9447,91.89,66,20,12.66,few clouds
40,Mogadouro,PT,41.3403,-6.7119,94.01,11,0,4.14,clear sky
41,Outlook,CA,51.5001,-107.0513,77.23,45,16,6.71,few clouds
42,Ancud,CL,-41.8697,-73.8203,47.23,88,100,3.65,overcast clouds
43,Staroderevyankovskaya,RU,46.1276,38.9674,74.86,58,20,7.96,few clouds
44,Santa Ana,US,33.7456,-117.8678,89.4,66,0,7.0,haze
45,Avarua,CK,-21.2078,-159.775,71.65,68,100,8.05,overcast clouds
