City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hobart,-42.8794,147.3294,53.22,75,70,4.0,AU,2022-07-07 00:29:40
1,Bredasdorp,-34.5322,20.0403,47.39,83,57,4.9,ZA,2022-07-07 00:29:40
2,Rikitea,-23.1203,-134.9692,75.18,69,10,17.18,PF,2022-07-07 00:29:41
3,Kapaa,22.0752,-159.319,84.18,69,20,14.97,US,2022-07-07 00:29:41
4,Mataura,-46.1927,168.8643,46.47,72,100,2.71,NZ,2022-07-07 00:29:41
5,Nikolskoye,59.7035,30.7861,61.81,86,100,2.86,RU,2022-07-07 00:29:42
6,East London,-33.0153,27.9116,59.49,80,4,10.09,ZA,2022-07-07 00:29:42
7,Qaanaaq,77.484,-69.3632,39.72,96,100,1.1,GL,2022-07-07 00:29:42
8,Ushuaia,-54.8,-68.3,28.06,74,0,4.61,AR,2022-07-07 00:29:43
9,Busselton,-33.65,115.3333,48.76,88,86,10.31,AU,2022-07-07 00:29:43
10,Ketchikan,55.3422,-131.6461,72.07,43,40,10.36,US,2022-07-07 00:25:03
11,Bluff,-46.6,168.3333,46.8,77,100,8.1,NZ,2022-07-07 00:29:44
12,Yerbogachen,61.2767,108.0108,64.35,57,16,5.77,RU,2022-07-07 00:29:44
13,Puerto Ayora,-0.7393,-90.3518,69.55,95,49,5.99,EC,2022-07-07 00:29:45
14,Sur,22.5667,59.5289,80.91,92,100,13.02,OM,2022-07-07 00:29:45
15,Punta Arenas,-53.15,-70.9167,28.51,93,0,9.22,CL,2022-07-07 00:29:45
16,Georgetown,5.4112,100.3354,82.89,85,20,0.0,MY,2022-07-07 00:26:04
17,Chuy,-33.6971,-53.4616,59.68,97,100,12.35,UY,2022-07-07 00:29:46
18,Kapoeta,4.7717,33.5903,77.34,62,98,3.65,SS,2022-07-07 00:29:46
19,Port Hueneme,34.1478,-119.1951,84.79,67,0,12.66,US,2022-07-07 00:29:47
20,Saint Anthony,45.0205,-93.218,82.09,64,40,5.75,US,2022-07-07 00:29:47
21,Dikson,73.5069,80.5464,32.92,87,15,5.01,RU,2022-07-07 00:29:47
22,Iranduba,-3.2847,-60.1861,80.89,81,33,2.35,BR,2022-07-07 00:29:48
23,Staffanstorp,55.6428,13.2064,59.86,88,100,12.66,SE,2022-07-07 00:29:48
24,Thompson,55.7435,-97.8558,69.96,40,100,9.22,CA,2022-07-07 00:29:49
25,Murliganj,25.9,86.9833,80.62,83,54,6.06,IN,2022-07-07 00:29:49
26,Kaseda,31.4167,130.3167,81.55,83,98,3.2,JP,2022-07-07 00:29:50
27,Hukuntsi,-24.0,21.75,54.97,43,0,6.67,BW,2022-07-07 00:29:50
28,Saskylakh,71.9167,114.0833,59.74,45,96,7.2,RU,2022-07-07 00:29:51
29,Yulara,-25.2406,130.9889,47.55,31,0,9.84,AU,2022-07-07 00:29:51
30,Barrow,71.2906,-156.7887,55.42,76,40,10.36,US,2022-07-07 00:29:52
31,Trincomalee,8.5711,81.2335,80.92,77,96,14.25,LK,2022-07-07 00:29:52
32,Kutum,14.2,24.6667,82.02,38,39,8.61,SD,2022-07-07 00:29:52
33,Danjiangkou,32.5428,111.5086,83.55,72,0,2.44,CN,2022-07-07 00:29:53
34,Palmer,42.1584,-72.3287,76.6,61,20,4.61,US,2022-07-07 00:29:53
35,Port Elizabeth,-33.918,25.5701,52.09,93,0,1.14,ZA,2022-07-07 00:29:54
36,Butaritari,3.0707,172.7902,82.6,75,100,20.69,KI,2022-07-07 00:29:54
37,Bandrele,-12.9067,45.1914,73.15,83,0,11.5,YT,2022-07-07 00:29:54
38,Mar Del Plata,-38.0023,-57.5575,50.02,95,100,6.91,AR,2022-07-07 00:29:55
39,Vaini,-21.2,-175.2,77.16,69,40,10.36,TO,2022-07-07 00:29:55
40,Altay,47.8667,88.1167,61.36,56,0,4.72,CN,2022-07-07 00:29:56
41,Sagua La Grande,22.8067,-80.0756,85.19,74,13,10.56,CU,2022-07-07 00:29:56
42,Cherskiy,68.75,161.3,52.97,53,82,5.48,RU,2022-07-07 00:29:56
43,Albany,42.6001,-73.9662,74.05,71,56,3.47,US,2022-07-07 00:27:17
44,Ribeira Grande,38.5167,-28.7,66.7,81,100,12.84,PT,2022-07-07 00:29:57
45,Lompoc,34.6391,-120.4579,81.7,69,0,18.99,US,2022-07-07 00:25:58
46,Cape Town,-33.9258,18.4232,58.37,75,20,8.05,ZA,2022-07-07 00:29:58
47,Iguape,-24.7081,-47.5553,66.33,73,100,4.81,BR,2022-07-07 00:29:58
48,Kysyl-Syr,63.8986,122.7617,62.46,64,100,1.34,RU,2022-07-07 00:30:58
49,Namibe,-15.1961,12.1522,65.5,83,0,3.83,AO,2022-07-07 00:30:59
50,San Luis,-33.295,-66.3356,45.36,40,0,26.02,AR,2022-07-07 00:30:59
51,San Policarpo,12.1791,125.5072,82.36,75,100,1.5,PH,2022-07-07 00:31:00
52,Sarramea,-21.6421,165.8452,81.54,63,57,9.69,NC,2022-07-07 00:31:00
53,Lebu,-37.6167,-73.65,46.9,76,74,4.9,CL,2022-07-07 00:30:16
54,Faya,18.3851,42.4509,66.72,28,99,1.79,SA,2022-07-07 00:31:01
55,Lagoa,39.05,-27.9833,64.96,79,89,11.16,PT,2022-07-07 00:31:01
56,Suez,29.9737,32.5263,72.75,75,0,5.1,EG,2022-07-07 00:31:02
57,Abha,18.2164,42.5053,66.45,32,100,0.0,SA,2022-07-07 00:31:02
58,Kropotkin,45.4375,40.5756,64.38,47,0,9.73,RU,2022-07-07 00:31:02
59,Honiara,-9.4333,159.95,86.59,65,99,10.07,SB,2022-07-07 00:31:03
60,Yar-Sale,66.8333,70.8333,56.43,74,100,5.73,RU,2022-07-07 00:31:04
61,Castro,-24.7911,-50.0119,55.4,71,100,3.51,BR,2022-07-07 00:31:05
62,Kobe,34.6913,135.183,87.37,100,11,1.72,JP,2022-07-07 00:31:05
63,Hithadhoo,-0.6,73.0833,82.09,76,38,9.51,MV,2022-07-07 00:30:16
64,Nanakuli,21.3906,-158.1547,82.45,57,100,6.91,US,2022-07-07 00:31:06
65,Isangel,-19.55,169.2667,80.56,75,100,8.59,VU,2022-07-07 00:31:06
66,Alta Floresta,-9.8756,-56.0861,71.24,49,12,1.79,BR,2022-07-07 00:31:07
67,Atuona,-9.8,-139.0333,77.67,80,25,24.25,PF,2022-07-07 00:30:06
68,Caravelas,-17.7125,-39.2481,70.52,84,54,4.12,BR,2022-07-07 00:30:03
69,Thinadhoo,0.5333,72.9333,82.38,77,92,8.48,MV,2022-07-07 00:31:08
70,Hermanus,-34.4187,19.2345,52.63,73,11,7.99,ZA,2022-07-07 00:31:08
71,Ilulissat,69.2167,-51.1,42.82,87,75,3.44,GL,2022-07-07 00:31:08
72,Torbay,47.6666,-52.7314,62.28,80,100,12.66,CA,2022-07-07 00:31:09
73,Sibolga,1.7427,98.7792,80.15,77,98,0.85,ID,2022-07-07 00:31:09
74,Linxia,35.6003,103.2064,75.7,37,7,0.38,CN,2022-07-07 00:31:10
75,At-Bashi,41.1702,75.8106,62.49,53,100,1.79,KG,2022-07-07 00:31:10
76,Yumbel,-37.0833,-72.5667,40.96,94,8,4.61,CL,2022-07-07 00:28:15
77,Chinhoyi,-17.3667,30.2,51.28,68,0,3.36,ZW,2022-07-07 00:31:11
78,Port Alfred,-33.5906,26.891,59.2,78,0,8.19,ZA,2022-07-07 00:31:11
79,Hobyo,5.3505,48.5268,76.6,77,76,24.79,SO,2022-07-07 00:31:12
80,Cockburn Town,21.4612,-71.1419,81.97,79,0,21.94,TC,2022-07-07 00:31:13
81,Vyartsilya,62.1764,30.693,51.87,92,100,4.45,RU,2022-07-07 00:31:13
82,Salym,60.0625,71.4789,57.83,67,100,3.42,RU,2022-07-07 00:31:13
83,Menomonie,44.8755,-91.9193,76.82,87,100,3.2,US,2022-07-07 00:31:14
84,Port Blair,11.6667,92.75,82.56,80,100,12.62,IN,2022-07-07 00:31:14
85,Comodoro Rivadavia,-45.8667,-67.5,37.26,87,100,16.11,AR,2022-07-07 00:30:04
86,Deputatskiy,69.3,139.9,42.94,93,100,3.89,RU,2022-07-07 00:31:15
87,Divnoye,45.9089,43.3547,63.63,51,0,8.05,RU,2022-07-07 00:31:16
88,Khatanga,71.9667,102.5,44.19,88,100,15.39,RU,2022-07-07 00:31:16
89,Newark,40.7357,-74.1724,84.2,55,75,9.22,US,2022-07-07 00:28:12
90,New Norfolk,-42.7826,147.0587,52.88,78,5,1.99,AU,2022-07-07 00:32:17
91,Kununurra,-15.7667,128.7333,67.98,32,5,16.11,AU,2022-07-07 00:32:17
92,Vostok,46.4856,135.8833,81.75,57,92,2.62,RU,2022-07-07 00:31:25
93,Sainte-Suzanne,-20.9061,55.6089,69.48,60,100,6.91,RE,2022-07-07 00:32:18
94,Sola,-13.8833,167.55,81.03,75,100,17.54,VU,2022-07-07 00:32:18
95,Talnakh,69.4865,88.3972,52.21,91,100,12.62,RU,2022-07-07 00:27:46
96,Mendi,-6.1761,143.6513,63.84,83,100,2.26,PG,2022-07-07 00:32:19
97,Dunedin,-45.8742,170.5036,48.79,66,100,3.22,NZ,2022-07-07 00:31:11
98,Hilo,19.7297,-155.09,87.28,57,0,9.22,US,2022-07-07 00:32:20
99,Saint George,37.1041,-113.5841,100.63,11,0,16.11,US,2022-07-07 00:32:20
100,Tiznit,29.5833,-9.5,77.94,39,2,2.06,MA,2022-07-07 00:32:21
101,Hitoyoshi,32.2167,130.75,82.22,62,100,2.17,JP,2022-07-07 00:32:21
102,Margate,51.3813,1.3862,65.7,73,71,5.01,GB,2022-07-07 00:32:22
103,Shelburne,44.0787,-80.2041,66.99,88,3,5.19,CA,2022-07-07 00:31:27
104,Provideniya,64.3833,-173.3,50.11,87,100,8.95,RU,2022-07-07 00:32:22
105,Chaman,30.9236,66.4512,78.46,63,100,7.76,PK,2022-07-07 00:32:23
106,Willmar,45.1219,-95.0433,78.82,70,40,4.61,US,2022-07-07 00:32:23
107,Alamosa,37.4695,-105.87,62.58,77,100,12.66,US,2022-07-07 00:32:24
108,Geraldton,-28.7667,114.6,52.21,93,0,11.5,AU,2022-07-07 00:32:24
109,Fort Nelson,58.8053,-122.7002,78.39,38,75,5.75,CA,2022-07-07 00:30:13
110,Shimoda,34.6667,138.95,76.1,84,100,7.31,JP,2022-07-07 00:32:25
111,Pisco,-13.7,-76.2167,62.65,77,2,12.66,PE,2022-07-07 00:32:25
112,Basco,20.4487,121.9702,84.7,78,42,14.32,PH,2022-07-07 00:32:25
113,Cururupu,-1.8283,-44.8683,72.01,97,35,2.33,BR,2022-07-07 00:32:26
114,Saint-Joseph,-21.3667,55.6167,65.21,73,38,11.43,RE,2022-07-07 00:32:26
115,Dali,25.7,100.1833,70.56,75,6,2.82,CN,2022-07-07 00:32:27
116,Kahului,20.8947,-156.47,86.02,54,20,23.02,US,2022-07-07 00:32:27
117,Tawau,4.2498,117.8871,78.93,81,89,3.44,MY,2022-07-07 00:32:28
118,Norman Wells,65.282,-126.8329,86.04,28,40,6.91,CA,2022-07-07 00:32:28
119,Port Hedland,-20.3167,118.5667,60.85,25,23,10.36,AU,2022-07-07 00:32:29
120,Youghal,51.95,-7.8506,59.09,100,100,10.87,IE,2022-07-07 00:32:29
121,Eureka,40.8021,-124.1637,70.66,79,42,3.0,US,2022-07-07 00:32:30
122,Sao Joao Da Barra,-21.6403,-41.0511,71.31,85,0,18.25,BR,2022-07-07 00:32:30
123,Amahai,-3.3333,128.9167,79.54,83,89,4.88,ID,2022-07-07 00:32:30
124,Show Low,34.2542,-110.0298,83.61,20,0,9.22,US,2022-07-07 00:32:31
125,Touros,-5.1989,-35.4608,74.34,93,56,11.14,BR,2022-07-07 00:32:31
126,Kangaatsiaq,68.3065,-53.4641,40.12,93,100,12.93,GL,2022-07-07 00:32:32
127,Aklavik,68.2191,-135.0107,87.46,27,2,7.61,CA,2022-07-07 00:30:16
128,Keflavik,64.0049,-22.5624,53.51,100,100,27.63,IS,2022-07-07 00:32:32
129,Sabha,27.0377,14.4283,83.26,23,0,9.53,LY,2022-07-07 00:32:33
130,Conde,-7.2597,-34.9075,74.66,94,75,9.22,BR,2022-07-07 00:32:33
131,Airai,-8.9266,125.4092,61.77,64,100,2.59,TL,2022-07-07 00:32:34
132,Tuktoyaktuk,69.4541,-133.0374,68.0,60,40,11.5,CA,2022-07-07 00:32:34
133,Leningradskiy,69.3833,178.4167,35.11,92,100,13.29,RU,2022-07-07 00:32:34
134,San Cristobal,7.7669,-72.225,73.58,95,33,2.95,VE,2022-07-07 00:31:26
135,Te Anau,-45.4167,167.7167,40.15,83,100,1.19,NZ,2022-07-07 00:32:35
136,Tuatapere,-46.1333,167.6833,46.36,72,100,4.5,NZ,2022-07-07 00:32:35
137,Davila,18.4726,120.5763,84.18,74,57,5.01,PH,2022-07-07 00:33:36
138,Husavik,66.0449,-17.3389,54.48,81,100,8.16,IS,2022-07-07 00:33:36
139,Disna,55.568,28.1971,55.13,97,100,7.78,BY,2022-07-07 00:33:37
140,Kismayo,-0.3582,42.5454,76.01,80,100,20.33,SO,2022-07-07 00:33:37
141,Pereleshinskiy,51.7148,40.1953,62.2,66,18,7.27,RU,2022-07-07 00:33:37
142,Mahebourg,-20.4081,57.7,70.09,60,75,11.5,MU,2022-07-07 00:33:38
143,Tasiilaq,65.6145,-37.6368,39.36,80,100,2.15,GL,2022-07-07 00:30:15
144,Los Algarrobos,8.5,-82.4333,75.61,94,75,5.75,PA,2022-07-07 00:33:38
145,Saint-Paul,-21.0096,55.2707,69.37,75,27,2.66,RE,2022-07-07 00:33:39
146,Ahipara,-35.1667,173.1667,59.52,96,100,11.97,NZ,2022-07-07 00:33:39
147,Lazaro Cardenas,17.9583,-102.2,82.06,77,68,5.08,MX,2022-07-07 00:33:40
148,Mountmellick,53.1136,-7.32,58.68,92,100,7.0,IE,2022-07-07 00:33:40
149,Dongsheng,39.8161,109.9776,78.84,29,0,18.01,CN,2022-07-07 00:33:41
150,Aksu,41.1231,80.2644,82.76,25,5,8.81,CN,2022-07-07 00:33:41
151,San Andres,12.5847,-81.7006,82.42,78,75,11.5,CO,2022-07-07 00:33:42
152,Sabang,5.8933,95.3214,82.62,74,95,6.76,ID,2022-07-07 00:33:42
153,Chara,56.9064,118.2631,54.57,86,100,4.36,RU,2022-07-07 00:33:43
154,Ayan,56.45,138.1667,60.15,89,73,5.68,RU,2022-07-07 00:32:15
155,Flinders,-34.5833,150.8552,60.26,81,93,4.0,AU,2022-07-07 00:33:43
156,Superior,46.7208,-92.1041,70.48,77,0,13.8,US,2022-07-07 00:33:44
157,Richards Bay,-28.783,32.0377,61.63,90,0,3.4,ZA,2022-07-07 00:33:44
158,Kesova Gora,57.5836,37.2922,61.34,96,100,7.61,RU,2022-07-07 00:33:45
159,Jamestown,42.097,-79.2353,71.24,73,75,8.05,US,2022-07-07 00:33:45
160,Yellowknife,62.456,-114.3525,75.56,35,40,11.99,CA,2022-07-07 00:30:42
161,Coquimbo,-29.9533,-71.3436,53.33,82,0,5.75,CL,2022-07-07 00:33:46
162,Verkhoyansk,67.5447,133.385,52.23,84,100,2.89,RU,2022-07-07 00:33:46
163,Coihaique,-45.5752,-72.0662,34.41,93,40,3.44,CL,2022-07-07 00:33:47
164,Longyearbyen,78.2186,15.6401,39.04,70,20,14.97,SJ,2022-07-07 00:33:47
165,Alvinopolis,-20.1067,-43.0489,57.49,75,0,2.3,BR,2022-07-07 00:33:48
166,Bilibino,68.0546,166.4372,50.97,73,100,5.68,RU,2022-07-07 00:33:48
167,Umm Kaddadah,13.6017,26.6876,87.42,41,60,14.9,SD,2022-07-07 00:33:49
168,Hofn,64.2539,-15.2082,50.13,98,100,12.37,IS,2022-07-07 00:33:49
169,Bethel,41.3712,-73.414,78.76,74,44,4.52,US,2022-07-07 00:33:49
170,Marsa Matruh,31.3525,27.2453,75.51,70,0,9.4,EG,2022-07-07 00:33:50
171,Meulaboh,4.1363,96.1285,78.98,80,64,2.24,ID,2022-07-07 00:33:18
172,Gushikawa,26.3544,127.8686,86.0,82,40,6.91,JP,2022-07-07 00:33:51
